,nr cam,mp,parter,et1-2,et3+,etaj max,typ_decom,bloc nou,Price/Surface,Price,WebPage
33,4,173.91,0,0,1,5,1,1,2300.04,400000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-4-camere-X5QB101AV?lista=2349706&listing=1
34,5,260,0,0,1,5,1,1,2596.15,675000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/penthouse-de-vanzare-5-camere-X2F7100AR?lista=2349706&listing=1
35,4,180,0,0,1,5,1,1,2499.38,449888,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/penthouse-de-vanzare-4-camere-X2F7100AE?lista=2349706&listing=1
36,2,51,0,0,1,4,0,1,2470.59,126000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-2-camere-XBNF00001?lista=2349706&listing=1
37,5,267,0,0,1,5,1,1,3744.9,999888,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/penthouse-de-vanzare-5-camere-X2F7100AI?lista=2349706&listing=1
38,4,193,0,0,1,5,1,1,2331.03,449888,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/penthouse-de-vanzare-4-camere-X2F7100BN?lista=2349706&listing=1
39,5,220,0,0,1,5,1,1,3522.73,775000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/penthouse-de-vanzare-5-camere-X2F71004M?lista=2349706&listing=1
40,2,53,0,0,1,7,1,1,2547.17,135000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/aviatiei/apartament-de-vanzare-2-camere-XBUS00005?lista=2349706&listing=1
41,5,218,0,0,1,5,1,1,2522.42,549888,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/penthouse-de-vanzare-5-camere-X2F7100AL?lista=2349706&listing=1
42,1,31,0,0,1,5,1,1,932.26,28900,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/militari/garsoniera-de-vanzare-X9AV1000E?lista=2349706&listing=1
43,2,67,0,1,0,1,1,1,595.52,39900,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/ghencea/apartament-de-vanzare-2-camere-XAU70000B?lista=2349706&listing=1
44,3,145,1,0,0,0,1,1,586.21,85000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/brancoveanu/apartament-de-vanzare-3-camere-X9LP0000G?lista=2349706&listing=1
45,2,53,0,0,1,3,0,1,932.08,49400,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/brancoveanu/apartament-de-vanzare-2-camere-X9LP0000H?lista=2349706&listing=1
46,2,50,0,1,0,2,1,1,836,41800,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-X7Q11000Q?lista=2349706&listing=1
47,2,60,0,0,1,3,1,1,1191.67,71500,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/brancoveanu/apartament-de-vanzare-2-camere-X94J0000Q?lista=2349706&listing=1
48,3,90,0,0,1,4,1,1,1216.67,109500,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/brancoveanu/apartament-de-vanzare-3-camere-X94J0000P?lista=2349706&listing=1
49,2,63,0,0,1,3,1,1,1046.03,65900,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-X7IB0000E?lista=2349706&listing=1
50,2,58.5,0,0,1,3,1,1,1401.71,82000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/nicolae-grigorescu/apartament-de-vanzare-2-camere-XB0B00007?lista=2349706&listing=1
51,4,186,0,0,1,5,1,1,2956.99,550000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/penthouse-de-vanzare-4-camere-X5QB101E4?lista=2349706&listing=1
